,conversation_id,created_at,date,hashtags,id,likes_count,name,replies_count,retweets_count,time,timezone,tweet,user_id,username,compound
0,1133145356018098176,2019-05-27 22:58:00,2019-05-27 00:00:00,"['#pain', '#video']",1133145356018098176,1,Arnicare USA,0,0,18:58:00,EDT,Need everyday #pain relief?  http://bit.ly/2gGJqmY  #video,26522739,arnicareusa,0.4767
1,1133035169437356032,2019-05-27 15:40:09,2019-05-27 00:00:00,"['#juneissue', '#review', '#osteoarthritis', '#pain']",1133035169437356034,13,NatRevRheumatol,0,9,11:40:09,EDT,#JuneIssue | #Review on targeting inflammatory #osteoarthritis #pain  Check it out at  http://go.nature.com/2YiVijy  pic.twitter.com/yAXsR62DU9,403530978,natrevrheumatol,0.0
2,1133025820845465600,2019-05-27 15:03:00,2019-05-27 00:00:00,"['#cannabis', '#cbd', '#pain', '#anxiety', '#cancer', '#chronicpain', '#canada', '#cannabisnews']",1133025820845465600,4,Advanced Nutrients,0,1,11:03:00,EDT,"The money will partially go towards 26 projects across the country that cover topics such as the use of #cannabis and #CBD oil to treat #pain and #anxiety, as well as potentially #cancer, #chronicpain, and neurological issues:  https://www.ganjapreneur.com/canada-invests-24-5m-into-cannabis-research/ … #Canada #cannabisnews",15825795,advancednutes,0.5859
3,1133009966107729920,2019-05-27 14:00:00,2019-05-27 00:00:00,"['#cancer', '#pain', '#beatcancer', '#retweet', '#bengaluru']",1133009966107729921,7,Milaap,1,12,10:00:00,EDT,This 7-year-old is fighting #cancer for the third time. The pain in her leg is so much she asks her father to cut her leg off. Her childhood memories are now filled with #pain. You can help her #BeatCancer once and for all. #Retweet #Bengaluru  Donate at  http://bit.ly/savesunidhi  pic.twitter.com/VQiz1Z6Tf8,70121052,milaapdotorg,-0.6369
4,1133008962444505088,2019-05-27 13:56:01,2019-05-27 00:00:00,"['#arnica', '#pain']",1133008962444505088,2,Arnicare USA,0,0,09:56:01,EDT,#Arnica montana relieves #pain from muscle overexertion. Claim basis:  http://bit.ly/1QC25cn  pic.twitter.com/Ro3sQW8kzC,26522739,arnicareusa,0.3612
5,1133001211915980800,2019-05-27 13:25:13,2019-05-27 00:00:00,"['#anesthesiologists', '#pain']",1133001211915980801,6,North York General,0,0,09:25:13,EDT,"#Anesthesiologists are the experts in acute #pain management.  In the operating room they're our version of Mission Control - taking over control of the body during surgery, guiding it safely to recovery.  @ON_Anesthesia  http://ow.ly/VoJ350ulEaA  pic.twitter.com/jYS9SDJoAl",285198313,nygh_news,0.4939
6,1132975727605948416,2019-05-27 11:43:57,2019-05-27 00:00:00,['#pain'],1132975727605948416,89,Tommy Dreamer,2,4,07:43:57,EDT,I'm in so much pain when I fly To sum up once I land my walk off plane is the frozen Terminator(T2) to Zombie to Frankenstein to Forrest Gump #pain  pic.twitter.com/ZllCXmAB49,101842264,thetommydreamer,-0.5542
7,1132949136758661120,2019-05-27 09:58:25,2019-05-27 00:00:00,"['#pain', '#shinedome19']",1132949167179853825,9,Australian Academy of Science,1,4,05:58:25,EDT,"Professor Paul Hodges FAA (@paulwhodges) of @UQ_News is a world leader in motor control and pain, with a unique approach that has made fundamental shifts in our understanding of why people move differently in #pain. @UQscience #ShineDome19 pic.twitter.com/vhx0JHNVrf",346400805,science_academy,-0.5106
8,1132945721483644928,2019-05-27 09:44:43,2019-05-27 00:00:00,"['#gout', '#pain', '#body', '#swelling', '#inflammation', '#arthritis', '#knee']",1132945721483644928,1,Boldsky,0,1,05:44:43,EDT,"Pseudogout: Causes, Symptoms, Diagnosis And Treatment  https://www.boldsky.com/health/disorders-cure/2019/pseudogout-causes-symptoms-treatment-128468.html … #gout #pain #body #swelling #inflammation #arthritis #knee",40193294,boldsky,0.0
9,1132689609253707776,2019-05-26 16:47:01,2019-05-26 00:00:00,"['#pain', '#boiron', '#homeopathic']",1132689609253707778,1,Arnicare USA,0,0,12:47:01,EDT,Which #pain medicine is right for you? Download our FREE #Boiron #homeopathic medicine finder app to find out.  http://bit.ly/WGEcMk  pic.twitter.com/IVPcihYzlU,26522739,arnicareusa,0.6166
